127.0.0.1 - - [02/Aug/2020:05:28:14 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/vendor/select2/select2.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/fonts/raleway/Raleway-Medium.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/fonts/raleway/Raleway-SemiBold.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/fonts/raleway/Raleway-Regular.ttf HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/fonts/raleway/Raleway-Bold.ttf HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/loginCheck.do?id=a&password=123123123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/index.jsp HTTP/1.1" 200 22218
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:51 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/logOut.do HTTP/1.1" 200 22212
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:53 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:54 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/signin.do HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/vendor/animate/animate.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/vendor/select2/select2.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/fonts/raleway/Raleway-Medium.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/fonts/raleway/Raleway-SemiBold.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/fonts/raleway/Raleway-Regular.ttf HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:55 +0900] "GET /orm/fonts/raleway/Raleway-Bold.ttf HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/loginCheck.do?id=admin&password=123123123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/index.jsp HTTP/1.1" 200 22242
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:01 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/index.jsp HTTP/1.1" 200 22242
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:04 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/uploadMovie.jsp HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/vendor/animsition/css/animsition.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/vendor/animate/animate.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/vendor/select2/select2.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/fonts/raleway/Raleway-Medium.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/fonts/raleway/Raleway-Bold.ttf HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/fonts/raleway/Raleway-SemiBold.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:09 +0900] "GET /orm/fonts/raleway/Raleway-Regular.ttf HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:18 +0900] "GET /orm/boardList.do HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:18 +0900] "GET /orm/boardList.do HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:33:20 +0900] "GET /orm/boardInfo.do?bno=31 HTTP/1.1" 200 5520
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:01 +0900] "GET /orm/boardList.do HTTP/1.1" 200 10184
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/index.jsp HTTP/1.1" 200 22242
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:34:04 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
